0 1 2 3 4 5
0 1 2 4 7 9
0 1 2 4 10 12
0 1 2 4 14 16
0 1 2 5 6 9
0 1 2 5 10 13
0 1 2 9 11 16
0 1 2 9 12 15
0 1 2 9 13 14
0 1 3 4 7 8
0 1 3 4 10 13
0 1 3 4 14 17
0 1 3 4 15 16
0 1 3 5 6 8
0 1 3 5 7 9
0 1 3 5 10 12
0 1 3 5 11 13
0 1 3 5 14 16
0 1 3 5 15 17
0 1 3 6 12 17
0 1 3 6 13 16
0 1 3 7 11 15
0 1 3 7 12 16
0 1 3 7 13 17
0 1 3 8 10 17
0 1 3 8 11 16
0 1 3 8 12 15
0 1 3 8 13 14
0 1 3 9 10 16
0 3 6 10 14 16
0 4 5 6 8 14
0 4 7 12 14 16
0 4 8 12 14 15
0 5 7 10 12 13
0 6 8 12 13 14
0 6 9 10 11 15
0 6 9 10 12 16
0 7 9 10 11 14
0 7 9 11 12 16
0 8 9 10 12 14
0 8 9 10 13 15
0 8 9 11 12 15
0 8 9 11 13 14
1 3 6 11 15 17
1 5 6 12 14 17
1 5 6 13 15 17
1 5 9 10 15 17
1 5 9 11 14 17
1 5 9 13 14 15
1 6 7 10 12 15
1 6 9 10 11 14
1 6 9 11 13 17
1 6 9 12 13 14
1 7 9 10 13 17
1 7 9 11 12 17
1 8 9 10 12 15
1 8 9 11 12 14
2 3 6 7 8 9
2 3 6 7 16 17
2 3 6 8 10 12
2 3 6 8 11 13
2 3 6 9 10 13
2 3 6 9 11 12
2 3 8 9 16 17
2 4 5 6 10 14
2 4 5 6 11 15
2 4 5 7 10 15
2 4 5 7 11 14
2 4 5 8 12 14
2 4 5 8 13 15
2 4 5 9 12 15
2 4 6 7 11 13
2 4 6 8 16 17
2 4 7 9 14 15
2 4 7 9 16 17
2 4 11 13 14 15
2 4 11 13 16 17
2 5 6 7 11 12
2 5 7 8 14 15
2 5 7 8 16 17
2 5 11 12 16 17
2 6 7 8 13 15
2 6 10 14 16 17
2 6 11 15 16 17
2 7 10 12 13 15
2 7 10 15 16 17
2 7 11 12 13 14
2 7 11 14 16 17
2 8 10 11 13 15
2 8 13 15 16 17
3 4 5 7 10 14
3 5 7 9 16 17
3 5 10 12 16 17
3 5 11 13 16 17
3 6 10 15 16 17
3 6 11 14 16 17
3 7 10 14 16 17
3 8 10 11 12 15
3 8 12 15 16 17
3 8 13 14 16 17
3 9 10 11 12 14
3 9 10 11 13 15
3 9 13 15 16 17
4 5 6 7 8 9
4 5 6 7 10 11
4 5 6 7 12 13
4 5 8 9 10 11
4 5 8 9 12 13
4 5 10 11 16 17
4 6 12 14 16 17
4 6 13 15 16 17
4 7 8 9 12 15
4 7 8 9 13 14
4 7 10 11 12 15
4 7 10 11 13 14
4 7 12 15 16 17
4 7 13 14 16 17
4 8 10 12 13 14
4 8 10 14 16 17
4 8 11 12 13 15
4 8 11 15 16 17
5 6 7 8 10 15
5 6 7 8 11 14
5 6 10 11 12 15
5 6 10 11 13 14
5 6 12 15 16 17
5 6 13 14 16 17
8 9 12 13 14 15
