0 1 2 3 4 5 6 7
0 1 2 3 8 9 10 11
0 1 2 3 12 13 14 15
0 1 2 3 16 17 18 19
0 1 4 5 10 11 14 15
0 1 4 6 9 11 18 19
0 1 4 7 12 14 16 18
0 1 5 6 13 15 16 18
0 1 5 7 9 11 16 17
0 1 6 7 8 9 14 15
0 1 8 11 13 14 17 18
0 1 9 10 12 15 17 18
0 2 4 5 8 11 16 18
0 2 4 5 9 10 17 19
0 2 4 6 8 13 14 19
0 2 4 6 9 12 15 16
0 2 5 7 8 12 15 17
0 2 5 7 9 13 14 18
0 2 10 11 12 14 16 17
0 2 10 11 13 15 18 19
0 3 4 7 8 9 16 19
0 3 4 7 10 11 17 18
0 3 5 6 8 9 17 18
0 3 5 6 10 11 16 19
0 3 8 10 12 13 16 18
0 3 9 11 12 13 17 19
1 2 4 6 12 13 17 18
1 2 4 7 10 11 16 19
1 2 5 6 8 9 16 19
1 2 8 10 14 15 16 18
1 2 9 11 14 15 17 19
1 3 4 6 14 15 16 19
1 3 4 7 8 10 12 15
1 3 5 6 8 10 13 14
1 3 5 6 9 11 12 15
1 3 6 7 9 10 17 19
1 3 8 9 12 14 16 17
1 3 8 9 13 15 18 19
1 3 10 11 12 14 18 19
2 3 4 5 8 9 14 15
2 3 4 5 10 11 12 13
2 3 4 7 12 14 17 19
2 3 4 7 13 15 16 18
2 3 5 6 12 14 16 18
2 3 5 6 13 15 17 19
2 3 6 7 8 9 12 13
2 3 6 7 10 11 14 15
4 5 6 7 8 9 10 11
4 5 8 10 12 14 16 19
4 5 8 10 13 15 17 18
4 5 9 11 13 15 16 19
4 7 8 11 12 13 16 17
4 7 8 11 14 15 18 19
4 7 9 10 12 13 18 19
4 7 9 10 14 15 16 17
5 6 8 11 12 13 18 19
5 6 8 11 14 15 16 17
5 6 9 10 12 13 16 17
5 7 10 11 13 14 17 19
6 7 8 10 12 14 17 18
6 7 8 10 13 15 16 19
6 7 9 11 12 14 16 19
6 7 9 11 13 15 17 18
12 13 14 15 16 17 18 19
