0 1 2 3 4 5 6 7 8
0 1 2 4 5 10 15 20 21
0 1 2 4 8 11 14 17 21
0 1 2 5 6 9 11 14 15
0 1 2 5 7 9 10 18 19
0 1 2 5 8 15 16 17 19
0 1 2 6 7 13 14 17 19
0 1 2 6 8 9 10 17 20
0 1 2 6 8 11 12 18 19
0 1 2 7 8 9 11 13 16
0 1 2 7 8 10 12 14 15
0 1 2 9 12 13 15 19 20
0 1 2 9 12 14 16 17 18
0 1 2 10 11 13 15 17 18
0 1 2 10 11 14 16 19 20
0 1 3 4 6 12 15 17 21
0 1 3 4 7 9 14 20 21
0 1 3 4 8 10 13 19 21
0 1 3 5 6 10 11 17 19
0 1 3 5 7 12 14 16 19
0 1 3 5 8 11 12 13 15
0 1 3 6 7 9 10 13 15
0 1 3 6 8 13 16 17 18
0 1 3 6 8 14 15 19 20
0 1 3 7 8 10 11 18 20
0 1 3 9 11 13 14 18 19
0 1 3 9 11 15 16 17 20
0 1 3 10 12 13 14 17 20
0 1 4 5 6 13 15 18 19
0 1 4 5 7 10 11 13 14
0 1 4 5 8 9 11 19 20
0 1 4 5 8 10 12 17 18
0 1 4 6 7 9 11 17 18
0 1 4 6 7 10 12 19 20
0 1 4 6 8 9 12 13 14
0 1 4 6 8 10 11 15 16
0 1 4 7 8 13 15 17 20
0 1 4 9 10 13 16 18 20
0 1 4 9 10 14 15 17 19
0 1 4 11 12 13 16 17 19
0 1 4 11 12 14 15 18 20
0 1 5 7 14 15 17 18 21
0 1 5 8 9 10 14 16 21
0 1 7 8 9 12 17 19 21
0 1 10 12 15 16 18 19 21
0 2 3 4 6 11 13 20 21
0 2 3 4 7 10 16 17 21
0 2 3 4 8 9 15 18 21
0 2 4 5 7 9 12 15 16
0 2 4 7 8 14 16 18 19
0 2 5 6 12 14 19 20 21
0 3 5 7 8 9 11 14 17
0 3 5 7 13 15 16 20 21
0 3 6 7 9 11 12 16 21
0 3 7 12 13 15 17 18 19
0 5 6 7 8 9 13 18 21
0 5 6 7 9 15 17 19 20
0 5 6 7 10 11 12 15 18
0 5 6 8 10 13 14 15 17
0 5 6 8 10 16 18 19 20
0 5 8 9 12 13 16 17 20
0 5 8 9 12 14 15 18 19
0 5 9 10 11 12 13 19 21
0 6 7 8 10 11 14 19 21
0 6 7 8 12 14 17 18 20
0 6 7 10 11 13 16 17 20
0 6 9 10 12 14 15 16 20
0 6 11 13 14 15 16 18 21
0 7 8 9 10 15 16 17 18
0 7 8 11 12 15 16 19 20
0 8 11 13 17 18 19 20 21
1 2 4 5 7 13 16 19 20
1 2 4 6 7 11 12 14 16
1 3 4 7 8 9 12 16 18
1 3 5 10 14 15 16 18 20
1 3 6 7 13 18 19 20 21
1 3 7 11 13 14 16 17 21
1 5 6 7 8 11 15 20 21
1 5 6 7 9 10 12 14 17
1 5 6 8 11 13 14 16 19
1 5 6 11 12 13 17 18 21
1 5 9 16 17 18 19 20 21
1 6 8 10 12 13 15 18 20
1 6 9 10 11 13 14 20 21
2 3 4 5 6 9 10 13 14
2 3 4 5 6 11 12 15 19
2 3 4 5 7 9 11 18 20
2 3 4 5 8 11 13 16 17
2 3 4 5 12 14 17 18 21
2 3 4 6 7 14 15 17 20
2 3 4 6 10 12 16 18 20
2 3 4 8 9 12 14 19 20
2 3 5 6 7 16 17 18 19
2 3 5 6 8 9 15 16 20
2 3 5 7 8 9 10 12 21
2 3 5 7 8 13 14 15 19
2 3 5 9 11 14 16 19 21
2 3 6 8 10 11 12 14 17
2 3 6 9 10 15 17 19 21
2 3 7 10 11 12 13 15 16
2 3 8 9 10 13 16 18 19
2 4 5 6 8 10 11 18 21
2 4 6 7 8 13 15 16 21
2 4 6 9 12 13 15 17 18
2 4 7 8 9 10 11 15 19
2 4 8 10 12 13 17 20 21
2 4 10 11 12 13 14 18 19
2 4 11 15 16 17 18 19 21
2 5 7 8 10 14 16 17 20
2 5 10 12 15 17 18 19 20
2 5 11 13 14 15 17 20 21
2 6 9 11 12 16 17 19 20
2 7 9 10 11 14 17 18 21
2 7 9 12 13 14 16 20 21
3 4 5 6 8 17 19 20 21
3 4 5 7 10 15 18 19 21
3 4 5 9 10 12 16 17 19
3 4 6 7 8 11 13 14 18
3 4 6 9 14 15 16 18 19
3 4 8 9 10 11 16 20 21
3 4 9 11 12 13 14 15 21
3 4 10 11 13 15 17 19 20
3 5 11 12 13 16 18 19 20
3 6 10 12 13 14 16 19 21
3 8 9 13 14 15 17 18 20
4 5 7 9 13 14 16 17 18
4 5 8 12 14 15 16 20 21
4 7 11 12 14 17 19 20 21
