0 1 2 3 4 5 6 7 8 9
0 1 2 3 4 10 11 12 13 14
0 1 2 3 4 15 16 17 18 19
0 1 2 7 8 12 13 16 17 20
0 1 3 6 8 10 11 16 18 22
0 1 4 6 7 12 13 15 19 21
0 1 4 8 10 14 17 21 22 23
0 3 7 11 13 14 15 16 20 22
0 4 5 8 9 11 12 13 21 23
0 4 6 7 9 11 17 18 19 23
0 5 6 7 8 12 14 18 20 21
0 5 6 7 9 10 15 16 20 23
0 8 13 15 16 18 19 21 22 23
1 2 6 7 9 10 11 13 20 22
1 3 5 6 9 10 11 12 15 19
1 3 8 9 12 15 17 18 20 21
1 4 5 11 12 15 16 18 21 22
1 5 6 7 8 15 17 18 19 22
1 5 7 9 12 13 14 17 19 23
1 9 10 14 15 18 19 20 22 23
2 3 4 6 7 13 16 18 21 22
2 3 4 9 14 16 17 20 22 23
2 3 5 6 7 11 12 14 22 23
2 3 8 10 12 14 16 19 20 21
2 4 5 8 11 12 14 17 18 19
2 5 6 8 9 10 19 21 22 23
2 5 10 11 13 14 17 20 21 23
2 6 9 12 13 14 15 16 21 23
3 4 7 8 9 10 11 14 18 20
3 4 10 11 13 15 17 19 21 22
4 8 10 11 12 15 16 17 20 23
5 6 9 13 16 17 18 19 20 21
