0 1 2 3 4 5 6 7 8 9 10 11
0 1 2 3 4 5 6 7 9 14 17 20
0 1 2 3 4 5 6 7 9 21 24 25
0 1 2 3 4 5 6 7 10 14 18 22
0 1 2 3 4 5 6 7 11 12 17 21
0 1 2 3 4 5 6 7 11 16 22 24
0 1 2 3 4 5 6 7 14 16 23 25
0 1 2 3 4 5 6 7 15 20 23 24
0 1 2 3 4 5 6 8 10 13 16 18
0 1 2 3 4 5 6 8 11 13 17 24
0 1 2 3 4 5 6 8 11 14 16 20
0 1 2 3 4 5 6 8 11 15 21 25
0 1 2 3 4 5 6 9 10 18 19 21
0 1 2 3 4 5 6 9 11 15 17 23
0 1 2 3 4 5 6 9 11 16 18 25
0 1 2 3 4 5 6 10 12 18 23 24
0 1 2 3 4 5 6 11 17 19 20 25
0 1 2 3 4 5 6 12 14 16 17 18
0 1 2 3 4 5 6 12 14 19 21 23
0 1 2 3 4 5 6 13 14 17 22 23
0 1 2 3 4 5 6 13 16 17 21 25
0 1 2 3 4 5 6 15 16 18 19 22
0 1 2 3 4 5 7 8 10 12 18 25
0 1 2 3 4 5 7 8 10 14 16 19
0 1 2 3 4 5 7 8 11 12 15 20
0 1 2 3 4 5 7 8 11 14 17 18
0 1 2 3 4 5 7 9 11 12 19 23
0 1 2 3 4 5 7 9 11 13 15 24
0 1 2 3 4 5 7 9 12 13 20 25
0 1 2 3 4 5 7 10 14 15 17 24
0 1 2 3 4 5 7 11 15 16 18 21
0 1 2 3 4 5 7 12 13 15 17 22
0 1 2 3 4 5 7 12 14 22 23 24
0 1 2 3 4 5 8 9 10 15 21 23
0 1 2 3 4 5 8 9 11 14 19 25
0 1 2 3 4 5 8 9 11 22 23 24
0 1 2 3 4 5 8 9 15 16 18 24
0 1 2 3 4 5 8 9 18 20 22 25
0 1 2 3 4 5 8 10 11 12 13 21
0 1 2 3 4 5 8 10 11 15 16 22
0 1 2 3 4 5 8 11 13 14 15 23
0 1 2 3 4 5 8 12 14 15 17 25
0 1 2 3 4 5 8 12 14 18 20 24
0 1 2 3 4 5 8 12 15 21 22 24
0 1 2 3 4 5 8 13 14 18 19 22
0 1 2 3 4 5 8 13 20 21 23 24
0 1 2 3 4 5 8 15 19 20 22 23
0 1 2 3 4 5 8 16 17 18 21 23
0 1 2 3 4 5 9 10 11 12 15 25
0 1 2 3 4 5 9 10 17 21 22 24
0 1 2 3 4 5 9 12 13 14 15 19
0 1 2 3 4 5 9 12 13 18 22 24
0 1 2 3 4 5 9 12 15 16 17 20
0 1 2 3 4 5 9 13 14 16 22 25
0 1 2 3 4 5 9 14 15 18 20 21
0 1 2 3 4 5 9 14 15 23 24 25
0 1 2 3 4 5 9 14 16 17 19 23
0 1 2 3 4 5 10 11 12 14 17 22
0 1 2 3 4 5 10 11 15 19 23 24
0 1 2 3 4 5 10 11 18 19 22 25
0 1 2 3 4 5 10 12 13 15 20 23
0 1 2 3 4 5 10 13 14 18 21 23
0 1 2 3 4 5 11 12 13 22 23 25
0 1 2 3 4 5 11 12 14 16 21 25
0 1 2 3 4 5 11 12 15 17 18 24
0 1 2 3 4 5 11 12 16 18 20 23
0 1 2 3 4 5 11 14 17 21 23 24
0 1 2 3 4 5 12 17 20 22 24 25
0 1 2 3 4 5 13 15 16 22 23 24
0 1 2 3 4 5 14 18 21 22 24 25
0 1 2 3 4 5 15 17 20 21 23 25
0 1 2 3 4 6 7 8 9 12 20 22
0 1 2 3 4 6 7 8 9 14 16 24
0 1 2 3 4 6 7 8 10 13 19 22
0 1 2 3 4 6 7 8 10 14 15 20
0 1 2 3 4 6 7 8 11 12 16 23
0 1 2 3 4 6 7 8 11 14 22 25
0 1 2 3 4 6 7 8 11 15 18 24
0 1 2 3 4 6 7 8 16 18 21 25
0 1 2 3 4 6 7 9 10 13 18 20
