0 1 2 3 4 5 6 7 8 9 10 11 12 13
0 1 2 3 4 5 6 7 10 11 14 15 18 19
0 1 2 3 4 5 6 7 10 13 19 21 23 25
0 1 2 3 4 5 6 7 12 13 16 17 18 19
0 1 2 3 4 5 6 7 14 17 19 20 23 24
0 1 2 3 4 5 6 8 10 11 14 17 22 24
0 1 2 3 4 5 6 8 10 11 15 16 23 25
0 1 2 3 4 5 6 8 10 12 15 18 21 22
0 1 2 3 4 5 6 8 11 13 14 18 21 23
0 1 2 3 4 5 6 8 11 13 15 19 20 24
0 1 2 3 4 5 6 8 16 17 19 21 24 25
0 1 2 3 4 5 6 9 10 11 19 20 22 23
0 1 2 3 4 5 6 9 14 16 18 19 22 24
0 1 2 3 4 5 6 9 15 17 18 19 23 25
0 1 2 3 4 5 7 8 10 13 16 17 22 25
0 1 2 3 4 5 7 8 11 12 14 15 22 25
0 1 2 3 4 5 7 8 15 17 20 21 23 25
0 1 2 3 4 5 7 9 10 11 14 17 23 25
0 1 2 3 4 5 7 9 10 11 15 16 22 24
0 1 2 3 4 5 7 9 10 12 20 21 22 25
0 1 2 3 4 5 7 9 10 13 14 16 18 21
0 1 2 3 4 5 7 9 10 13 15 17 19 20
0 1 2 3 4 5 7 9 11 12 15 17 18 21
0 1 2 3 4 5 7 9 11 13 20 21 23 24
0 1 2 3 4 5 7 9 12 13 15 16 23 25
0 1 2 3 4 5 7 9 14 15 19 21 24 25
0 1 2 3 4 5 8 9 10 11 16 17 18 19
0 1 2 3 4 5 8 9 10 13 18 20 23 25
0 1 2 3 4 5 8 9 12 13 16 17 20 21
0 1 2 3 4 5 10 11 12 13 14 15 16 17
0 1 2 3 4 5 10 11 12 13 18 19 20 21
0 1 2 3 4 5 10 11 12 13 22 23 24 25
0 1 2 3 4 5 10 11 14 16 18 20 22 25
0 1 2 3 4 5 10 11 14 16 19 21 23 24
0 1 2 3 4 5 10 11 15 17 18 20 23 24
0 1 2 3 4 5 10 12 16 17 19 20 22 24
0 1 2 3 4 5 10 13 14 17 18 19 22 23
0 1 2 3 4 5 10 13 15 16 20 21 22 23
0 1 2 3 4 5 11 12 14 17 18 19 24 25
0 1 2 3 4 5 11 12 15 16 20 21 24 25
0 1 2 3 4 5 11 13 16 17 18 21 22 24
0 1 2 3 5 6 8 10 13 14 15 16 18 20
0 1 2 3 6 7 8 9 10 13 14 18 19 22
0 1 2 3 6 7 9 10 15 18 20 21 23 25
0 1 2 3 6 7 10 12 13 15 16 17 20 23
0 1 2 3 6 7 11 14 15 17 21 23 24 25
0 1 2 3 6 8 9 11 13 17 21 22 23 24
0 1 2 3 6 8 11 14 16 20 22 23 24 25
0 1 2 3 6 10 11 15 16 17 18 19 20 22
0 1 2 3 6 10 12 13 14 18 20 21 22 25
0 1 2 3 7 8 9 10 12 17 18 19 21 25
0 1 2 5 6 7 8 9 13 17 19 21 22 25
0 1 2 5 6 7 12 13 16 17 20 22 24 25
0 1 2 5 6 7 12 14 16 18 19 20 21 22
0 1 2 5 6 8 10 11 16 17 18 20 24 25
0 1 2 6 10 11 12 15 17 18 19 21 24 25
0 1 3 5 6 7 8 10 11 12 15 21 23 24
0 1 3 6 7 9 14 16 17 18 20 21 22 23
0 1 3 6 9 13 15 16 17 18 20 22 24 25
0 1 3 6 11 12 14 16 17 18 21 22 24 25
0 1 3 8 11 12 13 15 18 20 22 23 24 25
0 1 4 6 7 13 17 18 19 20 21 22 24 25
0 1 6 7 8 9 10 11 14 15 16 17 18 22
0 1 6 7 8 9 10 12 13 15 17 21 22 24
0 1 6 7 8 9 10 12 16 18 19 21 22 23
0 1 6 7 8 9 10 13 15 16 18 19 20 24
0 1 6 7 8 9 11 12 13 15 16 20 22 25
0 1 6 9 10 11 12 13 15 18 19 20 21 23
0 1 7 8 9 11 13 16 17 18 20 21 22 24
0 1 7 8 9 13 14 15 16 18 20 21 23 25
0 1 7 8 10 11 12 15 16 18 19 23 24 25
0 2 3 4 7 11 14 15 16 17 18 19 23 24
0 2 3 4 7 12 13 14 15 16 17 21 22 23
0 2 3 4 8 11 12 14 18 19 20 21 22 25
0 2 3 5 8 9 12 14 15 16 20 21 23 24
0 2 3 6 9 10 13 15 17 19 20 22 23 24
0 2 4 5 7 10 11 14 18 20 21 22 23 24
0 2 4 5 7 13 14 17 19 21 22 23 24 25
0 2 4 5 8 9 14 15 16 17 19 21 22 24
0 2 4 5 9 11 12 14 16 20 22 23 24 25
0 2 4 7 8 9 10 12 13 14 16 17 18 23
0 2 4 7 9 10 11 15 16 17 19 20 24 25
0 2 4 12 13 14 15 16 17 18 19 20 24 25
0 2 6 7 8 11 14 15 18 19 22 23 24 25
0 2 6 8 9 10 11 12 14 17 19 20 24 25
0 2 6 8 9 10 12 13 14 15 16 17 22 25
0 2 7 8 9 10 11 14 17 18 19 20 21 22
0 2 7 8 10 11 13 14 15 16 17 21 22 24
0 2 7 9 10 11 12 13 14 16 18 19 21 25
0 2 8 9 10 11 15 16 17 18 20 22 23 25
0 2 10 12 13 14 15 17 18 21 22 23 24 25
0 3 4 6 10 11 12 13 15 17 18 19 22 24
0 3 4 8 9 11 13 18 19 20 21 22 23 24
0 3 4 8 10 11 13 15 17 20 21 22 23 25
0 3 4 8 10 13 14 17 18 19 21 22 24 25
0 3 5 6 8 9 10 18 19 20 21 22 23 25
0 3 5 6 10 13 14 15 16 17 18 19 23 24
0 3 5 7 8 9 10 12 14 16 17 19 20 21
0 3 5 7 8 9 11 12 14 15 16 18 19 23
0 3 5 7 11 12 14 16 19 20 21 22 24 25
0 3 5 8 10 11 12 16 17 18 19 22 24 25
0 3 6 7 8 9 10 11 13 15 19 20 23 25
0 3 6 7 8 9 11 15 17 18 19 21 22 23
0 3 6 7 8 10 12 13 14 15 16 18 22 23
0 3 6 7 9 10 11 12 16 17 19 20 22 23
0 3 6 7 9 11 13 14 15 16 17 19 22 25
0 3 6 7 11 13 14 15 16 18 19 20 21 23
0 3 7 10 11 12 14 15 18 19 21 22 23 24
0 4 5 6 8 11 12 13 14 15 17 18 19 20
0 4 5 6 8 11 13 15 16 19 21 22 24 25
0 4 5 7 8 11 12 13 16 17 18 20 24 25
0 4 5 7 9 11 13 14 15 16 17 19 20 23
0 4 5 7 10 12 14 15 16 17 20 21 24 25
0 4 5 7 11 12 13 15 20 21 22 23 24 25
0 4 5 8 11 15 16 17 18 19 20 22 23 24
0 4 5 10 11 13 14 15 16 17 18 19 21 22
0 4 6 7 8 9 10 12 15 19 20 22 23 24
0 4 6 7 8 10 11 12 13 14 15 21 23 25
0 4 6 7 9 10 12 13 16 17 18 20 21 24
0 4 6 9 11 12 13 17 18 19 20 23 24 25
0 4 6 11 14 16 18 19 20 21 22 23 24 25
0 4 7 8 9 10 12 13 16 18 19 22 24 25
0 4 7 8 9 11 12 15 16 17 18 19 21 24
0 4 7 9 10 11 12 14 15 16 17 22 23 25
0 4 8 9 10 12 14 15 16 18 20 23 24 25
0 5 6 7 8 9 10 11 14 16 19 20 22 25
0 5 6 7 8 11 13 14 17 19 20 21 22 24
0 5 6 7 11 14 15 16 17 18 19 20 24 25
0 5 7 8 9 10 11 13 14 15 19 22 23 24
0 5 7 8 9 12 13 17 18 19 20 21 23 24
0 5 7 8 10 12 13 14 15 17 18 19 24 25
0 5 8 12 13 14 16 17 20 21 22 23 24 25
0 5 10 11 12 13 14 15 17 19 20 21 23 24
0 6 7 10 12 13 14 15 19 20 21 22 24 25
0 6 8 9 10 11 12 15 16 18 21 22 24 25
0 7 8 10 11 12 14 16 17 18 20 21 23 24
0 8 10 11 13 14 15 16 18 19 20 21 24 25
1 2 3 5 6 7 8 13 15 16 17 20 21 22
1 2 3 5 6 8 9 10 13 15 18 19 21 23
1 2 3 5 6 8 9 12 14 15 17 20 22 23
1 2 3 5 8 10 13 17 18 21 22 23 24 25
1 2 3 5 9 10 11 12 14 15 18 21 22 25
1 2 3 6 9 10 13 14 15 17 19 21 24 25
1 2 3 9 12 13 14 15 16 18 20 21 22 24
1 2 4 5 6 7 8 9 11 13 14 15 21 24
1 2 4 5 6 7 9 10 11 12 14 20 24 25
1 2 4 5 6 7 9 10 12 13 17 19 21 24
1 2 4 5 6 7 9 11 14 15 16 22 23 25
1 2 4 5 6 7 9 13 14 17 20 21 22 23
1 2 4 5 6 9 13 15 18 19 21 22 24 25
1 2 4 5 6 10 15 16 17 19 20 21 23 25
1 2 4 5 7 8 11 12 14 17 19 20 22 24
1 2 4 5 7 10 12 13 14 15 16 21 22 24
1 2 4 5 7 10 12 14 16 17 18 19 20 25
1 2 4 5 8 9 10 11 13 14 19 23 24 25
1 2 4 5 8 9 11 12 14 16 18 21 24 25
1 2 4 5 8 9 11 15 16 17 20 21 23 24
1 2 4 5 9 10 12 13 14 15 17 20 23 25
1 2 4 6 7 8 9 11 14 16 19 20 21 25
1 2 4 9 10 11 14 15 17 18 22 23 24 25
1 2 5 6 7 12 13 15 16 19 21 22 23 25
1 2 5 6 9 11 13 14 16 17 18 21 23 25
1 2 5 6 10 11 12 14 15 18 19 22 23 24
1 2 5 7 8 9 12 14 15 18 19 23 24 25
1 2 5 7 9 11 12 13 17 19 22 23 24 25
1 2 6 7 8 10 12 13 14 15 16 19 20 25
1 2 6 7 9 10 11 14 15 17 19 20 23 25
1 2 6 8 9 10 11 12 16 17 19 21 22 24
1 2 6 8 9 12 13 14 16 18 19 21 22 25
1 2 6 9 10 11 12 13 14 15 16 17 23 24
1 2 7 8 9 10 11 13 14 16 17 20 21 23
1 2 9 11 12 14 17 18 19 20 21 22 23 25
1 3 4 5 6 7 8 9 10 11 14 17 19 20
1 3 4 5 6 7 8 9 12 15 18 19 22 23
1 3 4 5 6 7 8 9 13 14 16 20 23 24
1 3 4 5 6 10 12 13 15 16 19 22 23 24
1 3 4 5 7 8 12 15 18 19 20 21 24 25
1 3 4 5 7 8 13 14 17 18 20 22 23 25
1 3 4 5 9 11 12 17 18 21 22 23 24 25
1 3 4 5 10 12 14 16 20 21 22 23 24 25
1 3 4 6 7 8 9 10 11 13 16 18 19 23
1 3 4 6 7 8 11 12 13 14 16 17 22 25
1 3 4 6 7 9 11 12 14 15 17 18 24 25
1 3 4 6 7 9 12 14 15 19 20 21 23 25
1 3 4 6 8 9 15 16 17 20 21 22 23 25
1 3 4 7 8 9 11 12 14 15 16 17 20 21
1 3 4 7 8 11 16 17 19 20 21 22 24 25
1 3 4 7 9 10 12 13 14 15 18 19 20 22
1 3 4 7 10 13 14 16 17 18 19 21 23 24
1 3 4 8 9 10 12 14 15 18 21 22 23 24
1 3 4 9 13 14 15 16 17 18 19 20 23 25
1 3 5 9 10 11 13 17 18 19 20 22 23 25
1 3 6 7 8 9 10 11 12 13 19 21 24 25
1 3 6 7 8 10 12 13 14 18 19 20 23 24
1 3 6 7 8 10 15 16 17 19 20 23 24 25
1 3 6 7 13 14 15 18 20 21 22 23 24 25
1 3 9 10 12 13 14 17 19 20 21 22 23 24
1 4 5 6 8 9 11 15 16 18 20 22 24 25
1 4 5 8 9 12 13 14 15 16 18 20 22 23
1 4 5 8 10 11 12 15 16 17 18 19 20 21
1 5 6 7 8 10 11 12 14 16 18 20 22 23
1 5 6 9 10 12 13 14 16 18 19 20 22 24
1 6 10 12 13 14 15 16 17 18 19 22 23 25
2 3 4 5 6 8 9 10 12 14 16 20 21 22
2 3 4 5 6 8 10 11 12 13 14 18 19 22
2 3 4 5 6 8 12 13 14 15 16 22 23 25
2 3 4 5 6 9 10 12 15 18 20 22 23 25
2 3 4 5 6 12 13 17 18 20 21 23 24 25
2 3 4 5 7 8 9 10 15 16 17 23 24 25
2 3 4 6 7 8 9 10 11 15 16 17 21 22
2 3 4 6 7 10 12 16 17 20 21 22 23 25
2 3 4 6 9 10 11 12 13 17 20 21 22 24
2 3 5 6 8 10 11 14 16 19 20 21 24 25
2 3 5 6 9 11 13 15 16 19 20 23 24 25
2 3 6 7 8 9 10 12 13 16 17 19 21 23
2 3 6 7 8 9 12 13 14 15 20 23 24 25
2 3 6 7 8 11 12 13 14 18 19 21 23 25
2 3 6 7 8 11 12 15 16 17 19 21 24 25
2 3 6 7 11 12 13 14 15 17 18 20 22 23
2 4 7 8 11 12 13 14 15 16 18 19 22 23
2 4 7 9 10 14 15 16 17 18 19 21 23 25
2 5 6 7 8 9 10 12 17 18 20 21 24 25
2 5 6 7 8 10 12 13 15 16 18 20 22 24
2 5 6 7 8 12 13 14 16 17 18 20 21 23
2 5 6 9 12 13 14 15 17 18 19 21 22 23
2 5 7 8 9 11 15 17 18 19 20 21 23 25
2 5 8 9 10 11 13 15 16 17 18 19 21 24
2 7 8 9 10 11 12 13 14 18 21 22 23 24
2 7 8 9 11 14 16 17 19 21 22 23 24 25
2 7 8 12 13 14 15 17 19 20 21 22 23 25
3 4 5 6 7 8 11 13 18 19 20 22 24 25
3 4 5 6 9 11 13 14 16 18 19 21 24 25
3 4 5 8 11 12 13 14 15 16 19 20 21 24
3 4 5 9 10 12 13 16 17 19 20 21 23 25
3 4 6 7 8 9 12 16 18 19 20 23 24 25
3 4 6 7 8 10 12 13 15 17 18 20 21 23
3 4 9 10 12 14 15 16 17 18 20 21 22 25
3 5 6 8 9 12 13 14 15 18 21 22 24 25
3 6 7 9 10 11 16 17 18 19 21 23 24 25
3 6 8 13 16 17 18 19 20 21 22 23 24 25
3 7 8 9 10 11 12 16 18 19 20 21 22 24
3 7 9 11 12 13 15 16 18 20 21 22 23 25
4 5 6 7 8 9 10 11 13 17 21 22 24 25
4 5 6 8 10 11 12 13 15 18 22 23 24 25
4 5 6 9 10 11 12 14 15 16 19 20 22 23
4 5 7 9 14 15 16 18 19 20 22 23 24 25
4 6 7 8 10 11 13 15 16 17 19 20 21 25
4 6 8 9 10 11 13 15 16 17 19 22 23 24
4 6 8 9 11 12 14 16 17 18 19 21 22 23
4 6 8 9 11 13 14 15 17 18 21 23 24 25
4 7 8 12 14 15 16 17 18 21 22 23 24 25
5 6 7 8 9 13 14 15 16 17 20 22 24 25
5 6 7 12 13 14 17 18 19 20 22 23 24 25
5 6 9 10 11 12 17 18 19 20 21 22 23 24
6 7 8 11 12 13 14 16 18 20 21 22 24 25
8 9 10 11 12 13 15 19 20 21 22 23 24 25
