0 1 2
0 3 4
0 7 8
0 11 12
0 13 14
0 15 16
0 17 18
0 21 22
1 4 6
1 7 9
1 11 13
1 15 17
1 16 18
1 19 21
1 20 22
2 4 5
2 8 9
2 11 14
2 12 13
2 19 22
2 20 21
2 24 25
3 8 12
3 10 14
3 15 19
3 16 20
3 17 21
3 18 22
4 7 12
4 9 14
4 10 13
4 15 20
5 8 14
5 9 11
5 10 12
5 15 21
5 16 22
5 17 19
5 18 20
6 7 14
6 8 13
6 9 12
6 10 11
6 16 21
6 18 19
7 15 23
7 16 24
7 17 25
8 15 24
8 16 23
8 18 25
9 15 25
9 17 23
10 16 25
10 17 24
10 18 23
11 19 23
11 20 24
11 21 25
12 19 24
13 21 23
13 22 24
14 20 25
14 22 23
