0 1 2 3 4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21
0 1 2 3 4 5 6 7 8 9 11 12 14 15 16 19 20 21 22 23 24 27
0 1 2 3 4 5 6 7 8 9 11 13 14 15 16 18 19 21 22 24 25 26
0 1 2 3 4 5 6 7 8 9 11 13 14 15 17 18 19 20 23 24 25 27
0 1 2 3 4 5 6 7 9 10 12 13 14 17 18 20 22 23 24 25 26 27
0 1 2 3 4 5 6 7 9 10 12 13 15 16 19 21 22 23 24 25 26 27
0 1 2 3 4 5 6 7 10 11 12 13 14 15 16 17 19 20 23 24 26 27
0 1 2 3 4 5 6 8 9 10 11 12 14 16 18 21 22 23 24 25 26 27
0 1 2 3 4 5 6 8 9 10 11 13 14 17 18 19 20 21 22 25 26 27
0 1 2 3 4 5 7 8 9 10 11 13 15 17 18 21 22 23 24 25 26 27
0 1 2 3 4 5 7 8 10 11 12 13 14 15 17 18 19 20 22 24 25 26
0 1 2 3 4 5 7 8 10 12 14 15 16 17 20 21 22 23 24 25 26 27
0 1 2 3 4 5 10 11 12 13 16 17 18 19 20 21 22 23 24 25 26 27
0 1 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 24 25
2 3 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 22 23 26 27
4 5 6 7 8 9 10 11 12 13 14 15 16 17 18 19 20 21 24 25 26 27
