0 1 2 3 4 5 6
0 1 7 8 9 10 11
0 1 12 13 14 15 16
0 1 22 23 24 25 26
0 2 7 12 17 22 27
0 2 8 13 18 23 28
0 2 9 14 19 24 29
0 3 7 13 20 25 29
0 3 8 14 21 26 27
0 3 10 15 17 24 28
0 4 7 16 19 26 28
0 4 9 15 18 25 27
0 5 11 14 20 22 28
1 2 8 12 20 26 29
1 2 10 15 19 23 27
1 3 7 16 18 24 27
1 3 11 14 17 23 29
1 4 11 13 21 22 27
1 6 11 15 18 26 28
2 3 15 18 21 22 29
2 4 10 13 14 17 26
2 5 9 11 21 23 26
2 5 10 12 18 24 25
2 6 13 16 19 20 22
3 5 7 8 12 15 23
3 6 9 10 14 18 20
3 6 11 19 21 24 25
4 5 8 10 16 20 27
4 5 17 19 22 25 29
4 6 8 9 12 13 24
5 6 7 9 27 28 29
6 12 17 20 23 25 28
