0 1 2 3 4
0 1 2 7 8
0 1 2 9 10
0 1 2 11 12
0 1 2 13 14
0 1 2 25 26
0 1 3 10 12
0 1 3 13 15
0 1 3 17 19
0 1 3 22 24
0 1 4 25 28
0 1 4 30 31
0 1 5 10 14
0 1 5 12 16
0 1 5 17 21
0 1 6 12 15
0 1 6 19 24
0 1 7 11 13
0 1 8 9 16
0 1 8 11 14
0 1 8 19 22
0 1 8 26 31
0 1 8 27 30
0 1 8 28 29
0 1 9 18 26
0 1 9 21 29
0 1 10 24 31
0 1 11 18 28
0 1 11 19 25
0 1 11 23 29
0 1 12 19 26
0 1 13 21 25
0 1 13 22 26
0 1 14 18 29
0 1 14 20 31
0 1 14 21 26
0 1 14 22 25
0 1 15 20 30
0 1 15 21 27
0 1 15 22 28
0 1 15 24 26
0 1 16 18 31
0 1 16 23 26
0 1 16 24 25
0 2 3 13 16
0 2 3 21 24
0 2 4 9 11
0 2 4 14 16
0 2 4 29 31
0 2 5 10 13
0 2 5 19 24
0 2 6 11 15
0 2 6 17 21
0 2 6 19 23
0 2 6 26 30
0 2 7 10 15
0 2 7 11 14
0 2 7 18 23
0 2 7 19 22
0 2 7 20 21
0 2 8 9 15
0 2 8 11 13
0 2 8 17 23
0 2 8 20 22
0 2 8 27 29
0 2 9 20 27
0 2 10 19 27
0 2 11 17 28
0 2 12 20 26
0 2 12 24 30
0 2 13 22 25
0 2 14 19 31
0 2 14 23 27
0 2 15 21 28
0 2 15 24 25
0 2 16 22 28
0 2 16 24 26
0 3 4 5 6
0 3 4 19 20
0 3 4 21 22
0 3 4 27 28
0 3 5 17 23
0 3 5 25 31
0 3 6 11 14
0 3 6 12 13
0 3 6 17 24
0 3 6 18 23
0 3 6 20 21
0 3 6 26 31
0 3 7 9 13
0 3 7 18 22
0 3 7 27 31
0 3 8 10 13
0 3 8 11 16
0 3 8 20 23
0 3 8 25 30
0 3 8 26 29
0 3 9 18 28
0 3 9 20 26
0 3 9 23 29
0 3 9 24 30
0 3 10 17 28
0 3 10 18 27
0 3 10 22 31
0 3 10 23 30
0 3 11 18 26
0 3 12 17 26
0 3 12 20 27
0 3 12 21 30
0 3 14 19 30
0 3 14 20 29
0 3 14 21 28
0 3 14 23 26
0 3 15 21 25
0 3 15 22 26
0 3 15 24 28
0 3 16 18 29
0 3 16 20 31
0 3 16 22 25
0 4 5 9 16
0 4 5 10 15
0 4 5 12 13
0 4 5 18 23
0 4 5 26 31
0 4 5 28 29
0 4 6 9 15
0 4 6 11 13
0 4 6 25 31
0 4 6 28 30
0 4 7 9 14
0 4 7 10 13
0 4 7 11 16
0 4 7 18 21
0 4 7 19 24
0 4 7 26 29
0 4 8 11 15
0 4 8 25 29
0 4 8 26 30
0 4 8 27 31
0 4 9 18 27
0 4 9 19 26
0 4 9 20 25
0 4 9 23 30
0 4 10 20 26
0 4 10 24 30
0 4 11 20 27
0 4 11 21 30
0 4 11 22 29
0 4 11 24 31
0 4 12 17 25
0 4 12 19 27
0 4 12 22 30
0 4 12 23 31
0 4 13 22 27
0 4 13 23 26
0 4 14 17 31
0 4 14 20 30
0 4 14 23 25
0 4 14 24 26
0 4 15 18 29
0 4 15 21 26
0 4 15 23 28
0 4 16 22 26
0 5 6 21 22
0 5 6 25 26
0 5 7 9 11
0 5 7 14 16
0 5 8 10 11
0 5 8 13 16
0 5 8 17 20
0 5 8 18 19
0 5 9 19 31
