0 1 2 3 4 5 6 7 8 9 10 11 12 13
0 1 2 3 4 5 6 7 8 9 10 12 14 16
0 1 2 3 4 5 6 7 8 9 10 12 15 17
0 1 2 3 4 5 6 7 8 9 10 13 15 16
0 1 2 3 4 5 6 7 8 9 11 12 14 17
0 1 2 3 4 5 6 8 10 12 14 15 16 17
0 1 2 3 4 5 7 8 11 12 14 15 16 17
0 1 2 3 4 5 10 11 12 13 14 15 16 17
0 1 2 3 5 6 7 9 10 11 13 14 15 17
0 1 2 3 6 7 8 9 10 11 12 13 16 17
0 1 2 3 6 7 8 9 12 13 14 15 16 17
0 1 2 3 6 7 10 11 12 13 14 15 16 17
0 1 2 3 8 9 10 11 12 13 14 15 16 17
0 1 2 4 5 6 7 8 10 11 13 15 16 17
0 1 2 4 5 6 7 9 11 12 13 14 15 16
0 1 2 4 5 6 8 9 11 12 13 15 16 17
0 1 2 4 6 7 8 9 10 11 12 13 14 16
0 1 2 4 7 9 10 11 12 13 14 15 16 17
0 1 2 5 7 8 10 11 12 13 14 15 16 17
0 1 3 4 5 6 7 9 10 11 12 14 16 17
0 1 3 4 5 6 7 9 11 12 13 14 15 17
0 1 3 4 5 6 8 9 10 11 13 14 15 16
0 1 3 4 5 7 8 9 10 11 13 14 15 17
0 1 3 4 6 7 8 9 10 13 14 15 16 17
0 1 3 5 6 8 10 11 12 13 14 15 16 17
2 3 4 5 6 7 8 9 10 11 12 13 14 15
2 3 4 5 6 7 8 9 10 11 12 13 16 17
2 3 4 5 6 7 8 9 10 11 14 15 16 17
2 3 4 5 6 7 8 9 12 13 14 15 16 17
2 3 4 5 6 7 10 11 12 13 14 15 16 17
2 3 4 5 8 9 10 11 12 13 14 15 16 17
4 5 6 7 8 9 10 11 12 13 14 15 16 17
