0 1 2 3 4 5 6
0 1 2 3 7 8 9
0 1 2 3 10 11 12
0 1 2 3 13 14 15
0 1 2 4 8 11 14
0 1 2 5 7 11 15
0 1 2 5 8 10 16
0 1 2 5 9 13 17
0 1 2 5 12 14 18
0 1 2 6 7 12 16
0 1 2 6 8 13 18
0 1 4 5 7 8 12
0 1 4 5 13 14 16
0 1 4 6 8 16 17
0 1 4 6 10 12 18
0 1 4 11 12 13 19
0 1 5 6 11 16 18
0 1 5 7 13 18 19
0 1 6 7 8 10 11
0 1 7 8 14 17 18
0 1 7 9 11 13 14
0 1 8 9 14 16 19
0 1 10 11 14 15 16
0 2 3 4 7 12 19
0 2 3 6 7 10 15
0 2 3 9 15 16 19
0 2 5 6 9 15 18
0 2 5 6 10 12 17
0 3 4 5 11 12 18
0 4 5 6 12 16 19
0 4 6 8 12 13 14
0 4 7 8 9 15 18
0 4 7 10 14 16 17
0 4 8 14 15 17 19
0 5 6 7 9 11 12
0 5 6 9 10 13 16
0 5 6 10 11 15 19
0 5 8 9 10 14 17
0 6 7 10 12 13 19
0 6 9 12 14 17 18
0 6 10 13 14 15 18
0 7 8 11 12 16 19
0 7 15 16 17 18 19
0 9 11 12 13 15 16
1 2 3 4 8 17 19
1 2 3 5 7 12 13
1 2 3 9 11 13 16
1 2 4 12 13 17 18
1 2 4 14 15 16 17
1 2 7 10 14 17 19
1 2 8 9 12 13 14
1 2 9 11 14 15 18
1 3 4 6 12 13 15
1 3 7 8 10 13 18
1 3 7 8 11 12 17
1 3 7 9 12 14 19
1 3 8 9 10 11 14
1 3 8 9 13 15 17
1 4 5 9 14 18 19
1 4 7 13 15 17 19
1 4 9 10 12 13 16
1 5 6 12 15 18 19
1 6 9 15 16 17 19
1 9 10 11 13 15 19
1 9 10 11 16 17 18
1 12 13 14 15 16 19
2 3 4 5 7 8 10
2 3 4 6 7 16 17
2 3 4 6 8 11 12
2 3 4 8 9 14 15
2 3 4 10 12 15 18
2 3 5 6 12 16 18
2 3 5 6 13 15 19
2 3 5 8 9 16 17
2 3 7 10 16 18 19
2 3 8 10 11 15 19
2 3 10 12 13 14 17
2 3 11 12 17 18 19
2 4 6 12 14 17 19
2 5 7 12 16 17 19
2 5 9 10 17 18 19
2 5 11 12 13 15 18
2 5 13 14 16 17 18
2 6 9 10 11 13 17
2 6 10 11 12 16 19
2 6 10 15 16 17 18
2 8 13 15 16 17 19
3 4 5 6 8 15 17
3 4 5 7 14 17 19
3 4 5 10 15 16 19
3 4 6 9 11 17 18
3 4 7 12 14 15 16
3 4 13 14 15 17 18
3 5 7 9 10 11 13
3 5 9 11 15 18 19
3 6 7 8 9 15 19
3 6 7 10 11 14 17
3 6 7 11 15 16 18
3 6 8 11 13 16 17
3 7 8 9 14 16 18
3 8 10 13 14 15 16
3 8 12 15 16 18 19
3 10 11 12 13 16 18
4 5 6 7 8 13 18
4 5 7 10 11 17 18
4 5 8 10 11 12 13
4 5 10 12 14 16 18
4 6 7 8 9 14 17
4 6 7 11 13 14 19
4 6 8 9 12 16 18
4 6 9 10 13 18 19
4 8 9 10 11 15 17
4 8 11 14 16 17 18
4 9 11 12 13 14 17
4 10 11 14 15 18 19
5 6 7 9 10 14 19
5 6 8 9 11 14 18
5 6 8 11 12 17 19
5 7 8 9 10 15 16
5 7 8 9 13 17 19
5 7 8 11 13 14 16
5 8 13 14 15 18 19
5 10 12 14 15 17 19
6 7 9 12 13 14 16
6 8 11 14 15 16 19
7 9 10 12 15 18 19
7 9 11 13 15 17 18
7 10 11 13 16 17 19
