0 1 2 3 4 5 6 7 8
0 1 2 3 5 9 13 17 21
0 1 2 4 5 10 15 20 21
0 1 2 5 6 9 11 14 15
0 1 2 10 11 14 16 19 20
0 1 4 9 10 13 16 18 20
0 1 7 8 9 12 17 19 21
0 5 8 9 12 14 15 18 19
0 6 7 8 12 14 17 18 20
0 6 7 10 11 13 16 17 20
0 6 9 10 12 14 15 16 20
0 7 8 9 10 15 16 17 18
0 8 11 13 17 18 19 20 21
1 2 4 6 7 11 12 14 16
1 3 4 7 8 9 12 16 18
1 3 6 7 13 18 19 20 21
1 5 6 7 9 10 12 14 17
1 5 6 11 12 13 17 18 21
1 5 9 16 17 18 19 20 21
2 3 4 5 6 11 12 15 19
2 3 5 6 7 16 17 18 19
2 3 5 7 8 13 14 15 19
2 3 6 8 10 11 12 14 17
2 3 8 9 10 13 16 18 19
2 4 6 7 8 13 15 16 21
2 4 10 11 12 13 14 18 19
2 5 11 13 14 15 17 20 21
3 4 5 7 10 15 18 19 21
3 4 8 9 10 11 16 20 21
3 4 9 11 12 13 14 15 21
3 4 10 11 13 15 17 19 20
4 5 8 12 14 15 16 20 21
