0 1 2 3 4 5 6 7 8 9 10
0 1 2 3 4 6 11 16 21 22 23
0 1 2 4 6 8 12 13 19 20 23
0 1 3 9 12 13 15 20 21 22 23
0 1 4 5 7 10 11 14 16 19 22
0 2 3 5 6 8 13 15 16 17 22
0 2 3 5 7 9 11 12 16 20 23
0 2 4 5 8 9 14 15 20 22 23
0 2 5 7 8 10 13 14 18 19 20
0 2 5 9 10 12 15 17 18 21 22
0 2 6 7 9 10 11 16 17 18 19
0 3 6 10 15 16 17 19 20 21 23
0 3 11 12 13 14 16 18 19 20 22
0 4 6 8 10 11 12 15 19 21 22
0 7 8 9 12 13 16 17 19 20 21
1 2 3 5 9 10 11 13 17 21 23
1 2 4 5 7 13 14 18 21 22 23
1 2 6 7 8 10 11 12 14 22 23
1 2 9 12 13 14 15 17 18 19 20
1 3 4 5 6 9 15 17 19 21 22
1 3 4 6 7 12 14 16 18 20 23
1 4 5 8 11 12 15 16 20 21 23
1 6 7 8 9 10 13 15 18 20 23
1 6 8 11 16 17 18 19 20 21 22
1 7 9 10 11 12 13 18 19 21 22
2 3 4 8 10 11 12 14 16 17 20
2 3 7 11 14 15 16 17 18 21 23
3 4 5 7 8 13 14 16 17 19 23
3 5 6 7 9 10 13 14 17 18 22
4 5 6 9 10 11 14 15 18 20 21
4 8 9 10 14 15 16 17 18 19 22
5 6 11 12 13 15 17 18 19 21 23
