0 1 2 3 4 5 6 7 8 9 10 11 12 13 14
0 1 2 3 4 5 6 7 8 15 16 17 18 19 20
0 1 2 3 4 5 9 10 11 15 16 17 21 22 23
0 1 2 3 4 5 12 13 14 18 19 20 21 22 23
0 1 2 6 7 8 9 10 11 18 19 20 21 22 23
0 1 2 6 7 8 12 13 14 15 16 17 21 22 23
0 1 2 9 10 11 12 13 14 15 16 17 18 19 20
0 3 4 6 7 9 10 12 13 15 16 18 19 21 22
0 3 4 6 8 9 11 12 14 15 17 18 20 21 23
0 3 4 7 8 10 11 13 14 16 17 19 20 22 23
1 3 5 6 7 9 10 12 14 15 17 19 20 22 23
1 3 5 6 8 9 11 13 14 16 17 18 19 21 22
1 3 5 7 8 10 11 12 13 15 16 18 20 21 23
2 4 5 6 7 9 10 13 14 16 17 18 20 21 23
2 4 5 6 8 9 11 12 13 15 16 19 20 22 23
2 4 5 7 8 10 11 12 14 15 17 18 19 21 22
