0 1 2 3 4
0 2 3 14 15
0 2 4 9 11
0 2 4 13 15
0 2 4 14 16
0 2 4 17 19
0 2 4 18 20
0 2 4 21 23
0 2 5 9 14
0 2 5 11 16
0 2 5 12 15
0 2 5 18 21
0 2 5 20 23
0 2 6 9 13
0 2 6 11 15
0 2 6 12 16
0 2 6 17 21
0 2 6 19 23
0 2 7 9 16
0 2 7 11 14
0 2 7 12 13
0 2 7 18 23
0 2 7 19 22
0 2 7 20 21
0 2 8 9 15
0 2 8 10 16
0 2 8 17 23
0 2 8 19 21
0 2 8 20 22
0 3 5 11 13
0 3 5 12 14
0 3 5 17 23
0 3 5 19 21
0 3 5 20 22
0 3 6 9 16
0 3 6 11 14
0 3 6 12 13
0 3 6 18 23
0 3 6 20 21
0 3 7 9 13
0 10 12 17 19
0 10 12 18 20
0 10 13 17 22
0 10 14 17 21
0 10 14 18 22
0 10 14 19 23
0 10 15 18 23
0 10 15 19 22
0 10 15 20 21
0 10 16 19 21
0 10 16 20 22
0 11 12 13 14
0 11 12 17 18
1 2 7 9 17
1 2 10 20 21
1 3 9 18 21
1 4 6 10 17
1 4 6 13 22
1 4 6 16 23
1 4 7 8 14
1 4 7 13 23
1 4 8 9 20
1 4 8 12 17
1 4 8 16 21
1 4 9 10 14
1 4 9 11 15
1 4 9 18 22
1 4 9 19 23
1 4 10 12 15
1 4 10 18 21
1 5 8 13 17
1 5 8 16 20
1 5 9 10 11
1 5 9 14 15
1 5 9 18 19
1 5 9 22 23
1 5 10 13 15
1 5 10 18 20
1 5 11 13 14
1 5 11 19 20
1 5 13 18 23
1 5 13 19 22
1 5 14 20 22
1 5 15 20 23
1 6 7 10 22
1 6 7 11 23
1 6 7 13 17
1 6 7 16 20
1 6 8 9 22
1 6 8 14 17
1 6 8 16 19
1 6 9 10 12
1 6 9 13 15
1 6 9 18 20
1 6 9 21 23
1 6 10 14 15
1 6 10 18 19
1 6 12 13 14
1 6 12 19 20
1 6 13 19 21
1 7 8 15 17
1 7 8 16 18
1 7 12 18 20
1 7 14 18 22
1 16 18 21 22
2 3 7 8 14
2 3 8 10 19
2 3 11 12 14
2 5 12 13 14
2 5 14 19 22
2 5 15 19 23
2 6 7 8 11
2 6 7 9 22
2 9 11 14 18
2 9 13 16 22
2 9 14 16 21
2 9 18 20 21
2 10 17 18 23
2 10 18 19 21
2 10 18 20 22
2 11 12 15 18
2 11 12 16 17
2 11 14 16 23
2 12 17 18 21
2 13 14 15 18
2 13 14 16 17
2 13 15 16 20
3 5 11 17 20
3 5 11 22 23
3 5 12 13 15
3 5 12 18 20
3 5 13 17 22
3 5 13 20 23
3 5 14 18 22
3 5 15 18 23
3 6 13 17 21
3 6 15 17 23
3 7 8 11 23
3 7 8 15 19
3 7 8 16 20
3 7 9 10 11
3 7 9 14 15
3 7 9 17 20
3 8 10 22 23
3 8 13 17 23
3 8 14 18 23
3 9 10 15 19
3 9 12 16 18
3 9 18 19 23
3 9 19 20 21
3 10 11 16 18
3 10 12 16 17
3 10 14 16 23
3 10 17 19 23
3 11 12 15 19
3 11 15 16 23
3 11 19 20 23
3 13 14 15 19
3 13 17 19 20
3 13 19 22 23
3 14 19 21 23
3 16 17 21 23
3 16 18 22 23
4 5 7 8 10
4 5 7 9 23
4 5 7 11 21
4 5 7 14 20
4 5 8 12 21
4 5 12 22 23
4 6 9 11 12
4 6 9 13 14
4 7 12 21 22
4 7 14 19 22
4 8 9 14 15
4 8 9 18 19
4 8 11 13 14
4 8 11 21 22
4 8 14 19 21
4 8 15 17 22
4 9 10 15 20
4 9 10 16 19
4 9 11 14 20
4 9 12 13 20
4 10 19 20 21
4 11 12 15 20
4 11 12 16 19
4 11 13 16 22
4 11 14 16 21
4 11 17 20 22
4 12 13 16 21
4 12 17 20 21
4 13 14 15 20
4 14 15 16 17
4 15 17 18 20
4 15 20 21 22
4 16 19 21 22
5 7 15 17 20
5 8 11 12 14
5 11 12 15 21
5 11 15 16 17
5 11 17 21 22
5 12 13 16 20
5 12 14 16 19
5 12 15 16 18
5 12 18 21 22
5 13 15 16 23
5 13 17 20 21
5 13 18 19 21
5 15 17 18 21
6 8 9 10 13
6 8 10 17 21
6 8 10 19 23
6 8 11 12 13
6 8 12 17 23
6 8 12 19 21
6 8 13 19 20
6 8 15 17 20
6 8 15 18 19
6 9 10 16 21
6 10 17 22 23
6 10 19 21 22
6 11 12 15 22
6 12 17 21 22
6 12 19 22 23
6 13 14 15 22
6 13 17 20 22
6 14 17 19 22
7 8 9 12 14
7 8 10 20 21
7 8 11 17 21
7 8 11 18 22
7 8 12 17 22
7 9 20 21 23
7 10 11 13 23
7 10 12 16 21
7 10 15 16 18
7 10 19 21 23
7 11 12 15 23
7 11 13 16 17
7 11 14 16 18
7 11 15 16 19
7 11 17 22 23
7 11 18 21 23
7 12 18 22 23
7 13 14 15 23
7 13 17 20 23
7 16 18 19 22
8 9 10 16 23
8 9 11 16 22
8 9 13 16 20
8 9 14 16 19
8 16 18 20 22
9 11 15 17 20
9 12 14 17 18
10 12 15 18 19
10 13 15 18 22
