0 1 2 3 4 5 6 7 8 9
0 1 2 5 6 10 11 15 16 20
0 1 2 5 6 14 19 22 23 25
0 1 2 7 8 12 13 15 16 23
0 1 2 7 9 10 12 19 20 21
0 1 2 7 9 11 14 15 24 25
0 2 4 5 8 12 14 16 20 22
0 3 4 6 8 13 19 23 24 25
0 3 7 8 12 17 19 21 22 23
0 3 11 13 14 16 18 21 24 25
0 4 5 6 9 11 17 19 20 24
0 6 10 16 17 18 19 20 22 23
1 2 4 9 12 13 15 17 22 24
1 3 4 8 11 14 16 17 22 24
1 3 7 11 13 17 18 19 20 21
1 5 6 8 9 10 12 15 21 24
1 5 9 10 11 13 14 19 20 25
1 6 10 11 12 14 15 17 19 22
2 3 4 7 9 11 13 16 21 22
2 3 5 7 8 14 16 17 18 23
2 3 10 12 13 16 17 21 23 24
2 4 6 7 12 13 16 18 19 25
2 6 11 12 14 18 20 21 22 25
3 4 5 10 11 14 15 16 23 25
3 4 6 10 14 15 18 19 21 24
3 8 9 15 16 17 18 20 21 25
4 5 7 12 13 14 20 21 23 25
4 7 9 10 11 14 15 17 18 20
5 6 9 13 18 21 22 23 24 25
5 7 8 9 10 15 18 19 23 25
5 8 10 11 15 17 20 22 23 24
8 10 12 13 18 19 20 22 24 25
