0 1 2
0 3 5
0 3 6
0 5 15
0 5 16
0 5 17
0 5 18
0 5 19
0 5 20
0 5 22
0 5 23
0 5 24
0 18 24
1 7 27
1 14 22
1 14 23
1 14 24
1 14 25
1 15 19
1 15 20
1 15 21
1 15 26
1 15 27
1 16 18
1 18 24
1 22 23
2 3 23
2 9 10
2 10 18
2 12 17
2 12 18
2 12 19
2 12 20
2 14 19
2 14 22
2 14 27
2 15 16
2 15 17
2 15 18
3 9 20
3 11 22
3 11 23
3 12 14
3 12 16
3 12 17
3 12 19
3 13 20
3 13 21
3 26 27
4 7 24
4 13 18
4 13 19
4 13 20
4 13 21
4 13 22
4 13 23
4 20 21
4 21 23
4 21 24
4 21 25
4 21 26
4 21 27
5 11 20
5 11 25
5 24 27
6 7 9
6 7 26
6 10 16
6 10 17
6 10 19
6 10 22
6 10 24
6 10 26
6 11 16
6 13 21
6 13 24
6 13 25
7 9 10
7 9 26
7 14 23
7 14 25
7 14 26
7 15 17
7 15 19
7 15 20
7 17 22
8 9 14
8 9 20
8 12 15
8 12 16
8 12 19
8 15 27
8 16 21
8 16 22
8 16 23
8 16 24
8 16 27
8 17 18
8 17 19
9 10 23
9 18 24
9 19 24
9 19 26
9 22 24
9 24 25
10 11 12
10 18 23
10 20 27
10 22 25
11 16 17
11 17 19
11 18 25
11 21 25
11 22 25
11 23 25
11 25 26
11 25 27
12 13 25
12 23 26
13 14 20
13 26 27
14 16 19
17 20 27
17 21 23
17 22 26
18 21 22
18 26 27
20 26 27
