0 1 2 3
0 1 4 5
0 1 12 13
0 1 14 15
0 1 20 21
0 1 22 23
0 1 26 27
0 1 30 31
0 2 4 6
0 2 12 14
0 2 20 22
0 3 20 23
0 3 24 27
0 3 25 26
0 3 28 31
0 3 29 30
0 4 8 12
0 4 10 14
0 4 11 15
0 4 16 20
0 4 17 21
0 4 18 22
0 4 24 28
0 5 10 15
0 5 16 21
0 6 10 12
0 6 16 22
0 6 17 23
0 12 21 25
0 12 22 26
0 13 19 30
0 13 23 26
1 2 25 26
1 2 28 31
1 2 29 30
1 3 21 23
1 3 25 27
1 4 10 15
1 4 16 21
1 4 17 20
1 4 18 23
1 4 19 22
1 5 19 23
1 5 24 28
1 5 25 29
1 5 26 30
1 5 27 31
1 6 25 30
1 9 16 24
1 9 18 26
1 9 20 28
1 9 23 31
1 10 23 28
1 11 18 24
1 11 19 25
1 11 23 29
2 4 17 23
2 7 24 29
2 7 25 28
2 7 26 31
2 7 27 30
2 9 18 25
2 9 19 24
2 9 20 31
2 9 21 30
2 9 22 29
2 9 23 28
2 10 16 24
2 10 17 25
2 10 18 26
2 10 19 27
2 10 20 28
2 10 21 29
2 10 22 30
2 11 16 25
2 11 17 24
2 11 18 27
2 11 19 26
2 11 20 29
2 11 21 28
2 12 23 25
3 7 17 21
3 7 18 22
3 7 19 23
3 7 25 29
3 7 27 31
3 8 16 27
3 8 17 26
3 8 18 25
3 8 20 31
3 8 21 30
3 13 19 29
3 13 21 27
3 13 23 25
3 14 17 28
3 14 18 31
3 14 19 30
3 14 20 25
3 14 22 27
3 14 23 26
3 15 16 28
3 15 17 29
3 15 18 30
3 15 21 25
3 15 22 26
4 8 17 29
4 8 19 31
4 8 21 25
4 8 22 26
4 8 23 27
4 9 16 29
4 9 17 28
4 9 19 30
4 9 20 25
4 9 21 24
4 9 22 27
4 9 23 26
4 10 16 30
4 10 17 31
4 15 21 30
4 15 22 29
4 15 23 28
5 6 16 19
5 6 21 22
5 6 24 27
5 6 25 26
5 6 28 31
5 6 29 30
5 7 16 18
5 7 17 19
5 7 20 22
5 7 24 26
5 7 28 30
5 8 18 31
5 9 16 28
5 9 19 31
5 9 22 26
5 10 16 31
5 10 17 30
5 10 22 25
5 10 23 24
5 11 18 28
5 11 20 26
5 11 21 27
5 11 23 25
5 12 22 31
6 7 8 9
6 7 14 15
6 7 26 27
6 7 30 31
6 8 17 31
6 8 20 26
6 8 22 24
6 9 18 29
6 9 19 28
6 10 17 29
6 10 18 30
6 10 19 31
6 10 20 24
6 10 21 25
6 12 17 27
6 12 18 24
6 12 20 30
6 12 22 28
6 12 23 29
6 13 16 27
6 13 19 24
7 10 16 29
7 12 16 27
7 12 18 25
7 12 20 31
7 13 16 26
7 13 21 31
7 13 23 29
7 14 16 25
7 14 17 24
7 14 20 29
7 14 21 28
7 14 23 30
7 15 19 27
7 15 20 28
8 10 12 14
8 10 13 15
8 11 12 15
8 11 13 14
8 11 29 30
8 12 16 20
8 12 17 21
8 12 18 22
8 12 19 23
8 12 24 28
8 12 25 29
8 13 25 28
8 13 27 30
8 14 17 23
8 15 18 21
8 15 19 20
9 10 12 15
9 10 17 18
9 14 16 23
9 14 26 29
9 15 18 20
9 15 19 21
9 15 24 30
9 15 26 28
9 15 27 29
10 12 19 21
10 13 17 22
10 15 24 29
10 15 27 30
11 12 17 22
11 12 24 31
11 12 26 29
11 13 16 22
11 13 19 21
11 13 24 30
11 13 25 31
11 13 26 28
11 13 27 29
11 14 24 29
11 14 26 31
11 15 16 20
11 15 17 21
11 15 19 23
11 15 24 28
12 13 26 27
12 14 20 22
12 14 24 26
13 14 16 19
13 14 17 18
13 14 20 23
13 14 21 22
13 14 24 27
13 14 25 26
13 14 28 31
13 14 29 30
13 15 17 19
16 17 18 19
16 17 20 21
16 17 22 23
16 18 25 27
16 18 29 31
16 19 21 22
16 22 24 30
17 18 24 27
17 18 28 31
18 19 26 27
18 20 24 30
18 20 26 28
18 21 27 28
19 20 24 31
19 23 27 31
20 21 22 23
20 22 25 27
24 25 30 31
28 29 30 31
